Time,Open,High,Low,Close,Volume
2022-11-1,66.2,66.2,66.2,66.2,100
2022-11-2,66.2,69.7,66.2,67.5,234948
2022-11-3,69,74.2,67.4,74.2,353604
2022-11-6,74.2,81.6,70.3,81.6,515515
2022-11-7,82.2,89.7,81,89.5,1178982
2022-11-8,91,93.2,87.3,90.4,667478
2022-11-9,90,98.7,89.6,95,427629
2022-11-10,92.9,100,92,95,988428
2022-11-13,94,95.9,93.3,93.7,528354
2022-11-14,94.7,95,89.2,92.8,543582
2022-11-15,92.6,94.5,91.4,92.7,224562
2022-11-16,92.3,98.4,92.3,97.8,282925
2022-11-17,98.6,103.2,95.1,97.4,681868
2022-11-20,97.8,107.1,95,107.1,779987
2022-11-21,108.8,109.9,103.6,106.1,647920
2022-11-22,107.9,116.4,105.6,111.6,880874
2022-11-23,113,116.4,111.5,115.1,659242
2022-11-24,116,119.6,113.1,117.4,740425
2022-11-27,117.1,119.8,116.5,118.1,368077
2022-11-28,117,118.5,111.1,113.4,666225
2022-11-29,113.6,113.9,103.2,111.3,586521
2022-11-30,111.3,115,111.3,113.9,194621
2022-12-1,114,118,114,117.4,440887
2022-12-4,117.9,119.9,116.6,117.9,388672
2022-12-5,117.1,119.5,112.9,115,295322
2022-12-6,116.4,116.5,110,112.7,231221
2022-12-7,114.9,115,112.4,113,147602
2022-12-8,113.9,115,108.3,111.5,253580
2022-12-11,113,119.7,111.1,116.6,420564
2022-12-12,119.9,119.9,114.7,118.1,412071
2022-12-13,119.4,119.7,113,114.4,233760
2022-12-14,114,114.4,110.3,112.5,157569
2022-12-15,113.8,114,110.9,113.1,170992
2022-12-18,113.9,113.9,108.7,111.2,184432
2022-12-19,110.1,112.6,106,109.9,220165
2022-12-20,115,115,110.6,113.2,269336
2022-12-21,114,119.8,111.4,113.9,457170
2022-12-22,110.1,116.8,110,116.4,351834
2022-12-26,119.3,119.3,113.3,114.8,104235
2022-12-27,115.9,122,113.8,119.6,711056
2022-12-28,121,123.9,119.3,120.9,623657
2022-12-29,123,123,119.1,121.7,515871
2023-1-1,118,122.5,114.3,121.4,212902
